,index,problem,multi-query-rag
25,25,東急不動産の2023年度の営業利益において、資産活用型ビジネスのうち戦略投資事業が占める割合は何％か、小数第二位を四捨五入して答えてください。,分からない
26,26,4℃ホールディングスビジネススクールは最短で卒業した卒業生は何年で卒業した？,3年
27,27,カゴメが人材育成において重要視している観点を全てあげてください。,"個人の多様な強みの伸長, チームでの活かし合いによるイノベーション促進, 社会課題の解決に資する人材集団の形成, 心理的安全性の確保と挑戦する風土の醸成, ダイバーシティ＆インクルージョンの推進, エンゲージメントサーベイを通じた働きがいの向上, デジタル人材の育成とデジタルスキルの向上, リスキリングを通じた実践的なコーポレート・ガバナンスの学習"
28,28,パナソニックグループのCO2ゼロ工場数において、2021年度までに何工場実現しましたか。,44 工場
29,29,モスグループの2024年3月31日現在の海外店舗数は何店舗？,452店
30,30,ハウス食品グループの従業員数は、国内と海外、どちらが多いですか？,国内の従業員数が多い
31,31,全国保証株式会社の平均勤続年数は2024/3期は2023/3期対比何年伸びましたか？,1年伸びました。
32,32,ハウス食品グループの系列VCをすべて挙げてください。,スパイス系 VC、機能性素材系 VC、大豆系 VC、付加価値野菜系 VC、健康食品事業、ハウス食品グループイノベーションファンド
33,33,明治グループの2023年度のROICが一番大きいセグメントは全体のROICと比較して何％大きいですか。,分からない
34,34,サントリーグループサステナビリティサイトにおいて、KPMGあずさサステナビリティ株式会社による第三者保証の対象となっている数値はいくつありますか。,2
35,35,カゴメの加工用トマトが潰れにくい理由となっている特徴を2つ答えてください。,"硬い皮, 高密度の果肉"
36,36,東急不動産のITパスポート取得率は2023年度は2022年度対比何％増加した？,13%
37,37,モスグループが紙製パッケージに使用している紙は何認証紙か。,FSC®認証紙
38,38,東急不動産のDX推進人財のうち、中級に位置付けられる人財の呼称は何？,"DXマスター, ブリッジパーソン, DXリーダー, パートナー"
39,39,IHIが統合報告書2024において成長事業と位置付けた事業で、開発を行っている国として挙げられている国名を全て答えよ。,"日本, アメリカ"
40,40,ハウス食品グループの2024年3月期の営業利益率は2023年3月比何％上昇したか,分からない
41,41,サントリー美術館とサントリーホールでは、どちらの開館が先ですか？,サントリー美術館が先です。
42,42,日産自動車の2023年度の指定化学物質数は2019年度と比較していくつ増加したか。,5増加した。
43,43,クレハのサステナビリティ委員会は原則として年何回開催されますか？,年2回
44,44,東急不動産の社内ベンチャー制度の名前は？,STEP
45,45,モスグループの2023年度の店舗数が最も多い海外拠点はどこか,台湾
46,46,東急不動産のセグメントのうち、最も2023年度の総資産が多いセグメントが提供している価値を全てあげてください。,"都市開発事業セグメント, 再開発事業, 複合施設の開発, 魅力ある街と暮らしの創造, 快適な都市生活の提供, 不動産流通情報, 情報加工力, オーナー提案力, 不動産活用に関するソリューション, 不動産仲介事業モデルの進化, 賃貸住宅の管理, デジタル技術の活用, 知的資産の活用, 不動産流通の変革, 新たな収益機会の創出"
47,47,モスグループの2023年度の連結売上高は2022年度対比何％向上した？小数第二位で四捨五入してください。,分からない
48,48,メディアドゥは電子書籍市場を「何期」に移行しつつあると考えていますか？,メディアドゥは電子書籍市場を「2期」に移行しつつあると考えています。
49,49,メディアドゥが取引する出版社は何社以上？,"メディアドゥが取引する出版社は2,200社以上です。"
50,50,全国保証株式会社の有給休暇取得日数は2023/3期対比2024/3期は何日増加しましたか？,0.4日増加
51,51,グローリーは2020中計を「種まき」、2023中計を「育成」時期と位置付けているが、2026中計の位置づけは何？,「成果を刈り取る」
52,52,全国保証株式会社が民間金融機関の住宅ローン保証業務を開始した年に挙げられている社会・経済の動きを全て答えよ。,"1984年: 日経平均株価が1万円を突破, 1986年: 男女雇用機会均等法施行, 1989年: 元号が「平成」となる, 1991年: バブル経済崩壊, 1993年: 欧州連合（EU）発足, 1995年: 阪神・淡路大震災, 1997年: アジア通貨危機"
53,53,グローリーは国内外のサービス拠点並びに現地法人に約何名のテクニカルスタッフを配置している？,"約4,000名"
54,54,東洋エンジニアリングの代表取締役が述べる、「当社の事業に内在しているリスク」として具体的に述べられているものを全てあげてください。,"社会・環境リスク, オペレーショナルリスク, 政策リスク, 市場リスク, 物理リスク, エネルギー事業リスク, 橋梁・ダム建設事業リスク, ターボチャージャー事業リスク, プライベート航空エンジン事業リスク"
55,55,meijiサステナブルプロダクツ認定制度に基づきサステナブルプロダクツに認定されるには5つの評価基準のうちいくつクリアする必要がありますか？,5つ
56,56,IHIの2023年度における株主・投資家との主な対話テーマにはどの様な分類があるか。,"IHIの2023年度における株主・投資家との主な対話テーマは以下の通りです。
- IHIグループ全般
- 事業ポートフォリオに関する議論の状況
- ライフサイクルビジネスの今後の拡大の見通し
- PW1100G-JMエンジンの追加検査プログラムの影響
- 燃料アンモニアバリューチェーン事業の収益化の見通し
- 防衛事業の今後の拡大の見通し
- IHIカーボンニュートラル2050の実現に向けた取り組み
- Scope3の開示に向けた検討状況
- GHG排出量削減に関する中間目標の開示状況
- 気候変動対策におけるIHIグループの強みや独自性
- グループ人財戦略における具体的な取り組み内容
- グループ人財戦略のKPI
- 人的資本に関する投資の規模
- 従業員意識調査結果の活用状況
- サプライチェーン上で想定される人権リスク"
57,57,グローリーが、複数年度に渡り業績にプラスの影響があったとして、挙げている事象を全て答えよ。,新紙幣発行、新500円硬貨発行、アクレレック社買収、レボリューション社買収、新500円硬貨対応による保守売上増、新紙幣対応による売上増、スマート遊技機導入、フルイド社買収、精算業務の効率化、現金管理の厳正化、店舗DX、顧客の売上拡大、DX戦略の推進によるデータ整備や人材育成、ITエンジニアやAIエンジニアの拡充、人的資産への戦略投資、生産性向上を図るための施策、固定費の削減、人材育成プログラムの強化、新卒・中途採用、買収や資本業務提携による人材の拡充。
58,58,ライフコーポレーションの経営理念は何ですか。,「志の高い信頼の経営」を通じて持続可能で豊かな社会の実現に貢献すること。
59,59,日産自動車の2023年度において、グローバル生産台数は何台か。,"3,430千台"
60,60,高松コンストラクショングループの新卒採用者数実績値で2021/3期以降最も多い年の採用数は何人か,270
61,61,メディアドゥのサスティナビリティ推進事務局はどこの部署が担当していますか？,経営企画部（サステナビリティ推進事務局）
62,62,東洋エンジニアリングに2023年度リファラル採用で入社した社員は何名？,分からない
63,63,パナソニックグループの2023年度の事業活動におけるCO2排出量が最も多い海外地域はどこ？,北米・中南米
64,64,4℃ホールディングスのアパレル事業「パレット」の2024年度と2023年度を比較して、増加した店舗数は何店舗か？,21店舗
65,65,クレハの年次有給休暇取得率は2022年から2023年で何％増加した？,1.8%
66,66,明治ホールディングスの海外の売上高において、2013年度から2023年度までの11年間で、食品セグメントが医薬品セグメントを下回った年度を全てあげてください。,2013年度、2014年度、2015年度、2016年度、2017年度、2018年度、2019年度、2020年度、2021年度、2022年度
67,67,クレハのエネルギー起源CO2排出量について、グループ会社を含めない場合、2013年度の排出量と比較して2023年度の排出量は何％か、小数点第1位までの数字で四捨五入して答えてください。,88.6%
68,68,サントリーグループの2023年の新規入社者数のうち、新卒の占める割合は何％か、小数第二位で四捨五入して答えてください。,0.65
69,69,サントリーグループが考えるサステナビリティ経営のテーマをすべて挙げてください。,"環境の保全, 水資源の保全, 環境負荷の低減, 環境パフォーマンスの継続的改善, ダイバーシティ・人権尊重とより良い労働環境の実現, 児童労働・強制労働の防止, 差別・ハラスメントの排除, 結社の自由の尊重, 働きやすい職場環境の構築, 風通しの良い職場風土の醸成, 挑戦と成長の促進, 水のサステナビリティ, 生態系の保全と再生, 循環経済の推進, 脱炭素社会への移行"
70,70,クレハの特例子会社の名前は何か、株式会社を含む正式名称で答えてください。,さんしゃいんクレハ
71,71,健康パナソニックの推進責任者の正式名称をカタカナで答えてください。,グループ CHRO
72,72,クレハグループでは「エネルギー消費原単位」をどのように算出していますか。,エネルギー消費量を企業の活動量で割る手法を採用しています。
73,73,4℃ホールディングスの2024年2月29日現在の連結での従業員数は何名か。,分からない
74,74,カゴメの国内加工食品事業における通販部門の2023年度の売上収益は何百万円ですか,131億30百万円
75,75,クレハの社員で生成AIを活用しているのは現在で約何割？,約6割
76,76,キッツグループの企業の中で、「株式会社」という文字を除き、ひらがな・カタカナ・漢字を全て含む会社名を答えよ。（回答には株式会社も含めること）,"株式会社アスティ, 株式会社ベジタリア, 株式会社清水合金製作所, 株式会社北澤精密機械（昆山）有限公司"
77,77,明治グループが特定した12のマテリアリティのうち、ステークホルダーにとっての重要度も明治グループにとっての重要度も非常に高い2つを挙げてください。,"健康と栄養, 製品品質の安全性・信頼性"
78,78,ライフコーポレーションの2023年度実績において、都市ガスと重油ではどちらが多くCO2を排出しているか？,都市ガスが多くCO2を排出しています。
79,79,株式会社キッツの企業理念のことをなんと呼んでいる？,キッツ宣言
80,80,ハウス食品グループの海外重点エリアをすべて挙げてください。,米国、マレーシア、カナダ、ドイツ、中国、ベトナム、タイ、インドネシア、台湾
81,81,日清食品ホールディングスの社内専用AIの名前は？,NISSIN AI-chat
82,82,4℃ホールディングスの2024年2月期のEC売上高は何百万円か。,"231,844百万円"
83,83,東洋エンジニアリングの独自開発のスケジュール最適化システムの名前は？,EffiMate™
84,84,東洋エンジニアリングの取締役が有する専門的知見や経験分野として多く選択されている項目は、『法務・法規則』と『人事・労務』のどちらでしょうか？,法務・法規則
85,85,モスグループの2023年度の自己資本比率は何％？,自己資本比率は64.3%です。
86,86,日清食品ホールディングスの2023年度の人材開発総費用は、2021年度比、何%増加した？小数第二位で四捨五入して答えてください。,分からない
87,87,メディアドゥの2024/2期の連結決算において、電子書籍流通事業が売上に占める割合は何％？小数第一位を四捨五入して答えてください。,約9.2%
88,88,4℃ホールディングスの2024年2月期の自己資本比率は何％？,分からない
89,89,全国保証株式会社の2023年4月からの中期経営計画の名前を答えよ。,Next Phase～成長と価値創造～
90,90,カゴメの事業所の数は全部で何拠点ですか？,分からない
91,91,東洋エンジニアリングの2024年3月31日現在における従業員数が2番目に多いの国の関連会社名はなにか。,Toyo-Korea
92,92,サントリーグループの2023年度の売上収益において、飲料・食品セグメントの売上と日本以外の地域別売上の和ではどちらが大きいか,分からない
93,93,日産自動車の2023年度において、日本の生産台数と欧州の販売台数ではどちらが多いか。,日本の生産台数が多い。
94,94,日清食品ホールディングスがオーバーカロリーによる健康リスクの増大や、隠れ栄養失調の増加といった課題の解決を目指した商品ブランドの販売開始は何年何月か。,2022年5月
95,95,セグメント別営業利益において、2014年〜2024年の11年間の海外市場の平均額は何億円か。少数第一位を四捨五入して答えよ。,350億円
96,96,高松コンストラクショングループの2024/3期の土木事業の営業利益は何億円か,67億円
97,97,明治グループの食品セグメントと医薬品セグメントではどちらの方が多く微生物株を保有していますか。,医薬品セグメント
98,98,パナソニックグループの2023年度の売上高比率が最も高いセグメントは？,自動車セグメント
99,99,サントリーの最も小さい天然水の森の面積は約何ヘクタールですか？,"約12,000ヘクタール"
